Word,Freq,Freq(%)
the,3732,4.663834,
and,2205,2.755561,
of,2151,2.688078,
to,2096,2.6193452,
i,1694,2.1169708,
a,1662,2.0769808,
he,1539,1.9232693,
you,1445,1.8057985,
that,1356,1.6945765,
it,1340,1.6745813,
in,1202,1.5021245,
was,1083,1.3534117,
his,993,1.2409397,
is,887,1.108473,
had,833,1.0409898,
him,661,0.8260434,
with,658,0.8222944,
for,583,0.7285679,
as,568,0.70982254,
have,561,0.7010747,
at,559,0.6985754,
me,523,0.65358657,
not,471,0.58860284,
be,452,0.5648588,
her,439,0.54861283,
one,435,0.5436141,
she,431,0.53861535,
t,418,0.52236944,
dorian,414,0.51737064,
what,399,0.49862537,
but,395,0.49362656,
are,366,0.45738566,
on,358,0.44738814,
there,335,0.41864532,
they,317,0.39615095,
would,308,0.38490376,
my,303,0.37865534,
all,290,0.36240938,
said,262,0.32741815,
s,259,0.32366908,
don,255,0.31867033,
from,252,0.3149213,
were,251,0.3136716,
lord,248,0.30992252,
so,246,0.30742314,
been,236,0.2949263,
henry,236,0.2949263,
am,232,0.2899275,
life,229,0.28617844,
if,224,0.27993003,
some,224,0.27993003,
about,222,0.27743062,
an,222,0.27743062,
who,220,0.27493125,
by,217,0.2711822,
or,217,0.2711822,
when,217,0.2711822,
no,214,0.26743314,
like,213,0.26618344,
your,207,0.25868532,
them,203,0.25368658,
will,201,0.2511872,
gray,199,0.24868783,
do,183,0.22869283,
harry,178,0.2224444,
man,178,0.2224444,
know,176,0.219945,
never,176,0.219945,
over,169,0.21119721,
has,168,0.20994751,
we,168,0.20994751,
basil,158,0.19745064,
into,158,0.19745064,
out,156,0.19495127,
must,154,0.19245188,
their,154,0.19245188,
up,150,0.18745314,
how,149,0.18620345,
then,147,0.18370408,
this,147,0.18370408,
can,143,0.17870532,
could,136,0.1699575,
more,136,0.1699575,
now,134,0.16745813,
good,133,0.16620845,
own,128,0.15996,
think,127,0.15871033,
its,126,0.15746064,
something,126,0.15746064,
come,123,0.15371157,
very,123,0.15371157,
see,122,0.15246189,
things,122,0.15246189,
than,121,0.1512122,
us,121,0.1512122,
seemed,119,0.14871281,
which,119,0.14871281,
any,117,0.14621344,
thing,117,0.14621344,
should,115,0.14371407,
go,114,0.14246438,
love,112,0.13996501,
always,110,0.13746563,
made,110,0.13746563,
time,110,0.13746563,
eyes,109,0.13621596,
only,109,0.13621596,
quite,106,0.13246688,
too,106,0.13246688,
face,105,0.1312172,
himself,105,0.1312172,
want,105,0.1312172,
after,103,0.12871782,
really,102,0.12746812,
room,102,0.12746812,
down,101,0.12621845,
people,101,0.12621845,
back,100,0.12496876,
did,100,0.12496876,
away,99,0.12371907,
came,99,0.12371907,
night,98,0.12246938,
say,97,0.1212197,
cried,95,0.11872032,
looked,94,0.11747063,
nothing,93,0.11622094,
tell,93,0.11622094,
world,93,0.11622094,
why,92,0.11497126,
hallward,91,0.113721564,
look,91,0.113721564,
much,91,0.113721564,
answered,87,0.10872282,
going,87,0.10872282,
little,87,0.10872282,
mr,87,0.10872282,
sibyl,85,0.10622344,
yes,85,0.10622344,
through,84,0.104973756,
upon,84,0.104973756,
thought,83,0.10372407,
round,80,0.09997501,
once,79,0.09872532,
shall,79,0.09872532,
day,77,0.09622594,
ever,77,0.09622594,
told,77,0.09622594,
felt,76,0.09497626,
such,76,0.09497626,
great,75,0.09372657,
men,74,0.09247688,
most,74,0.09247688,
before,73,0.09122719,
dear,73,0.09122719,
again,72,0.08997751,
long,72,0.08997751,
other,72,0.08997751,
our,72,0.08997751,
yet,72,0.08997751,
young,72,0.08997751,
looking,70,0.08747813,
lady,69,0.086228445,
picture,69,0.086228445,
everything,68,0.08497875,
moment,68,0.08497875,
soul,68,0.08497875,
anything,67,0.083729066,
art,67,0.083729066,
door,67,0.083729066,
hand,66,0.08247938,
let,66,0.08247938,
well,66,0.08247938,
women,66,0.08247938,
two,64,0.07998,
went,63,0.07873032,
being,62,0.07748063,
across,61,0.07623094,
afraid,61,0.07623094,
asked,61,0.07623094,
might,61,0.07623094,
old,61,0.07623094,
those,61,0.07623094,
every,60,0.07498125,
make,60,0.07498125,
passed,60,0.07498125,
table,59,0.07373157,
vane,58,0.07248188,
white,58,0.07248188,
wonderful,58,0.07248188,
lips,57,0.07123219,
sir,56,0.06998251,
left,55,0.06873281,
beauty,54,0.06748313,
better,54,0.06748313,
got,54,0.06748313,
house,54,0.06748313,
turned,54,0.06748313,
where,54,0.06748313,
head,53,0.06623344,
hands,52,0.064983755,
lad,52,0.064983755,
